image_id,image_path,strategy,status,model,elapsed_seconds,normalized_ground_truth,normalized_vlm_predictions,tp,fp,fn,precision,recall,f1,exact_match,jaccard,true_positives,false_positives,false_negatives
pwhztabat8v31_jpg.rf.22b0e388b2350081380800e2bea63480.jpg,data/raw/valid/images/pwhztabat8v31_jpg.rf.22b0e388b2350081380800e2bea63480.jpg,high_only,success,qwen35-397b,0.66,strawberry; blueberry; egg; milk; cheese; mayonnaise; yogurt; ketchup; pickle; bell pepper; butter,yogurt; ketchup; butter; milk,4,0,7,1.0,0.3636,0.5333,0,0.3636,butter; ketchup; milk; yogurt,,bell pepper; blueberry; cheese; egg; mayonnaise; pickle; strawberry
1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,data/raw/valid/images/1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,high_only,success,qwen35-397b,51.29,eggplant; tortilla; bread; egg; bell pepper; tomato; cheese; taco sauce; ranch; steak sauce; soy sauce; milk; pickle,milk; salad dressing; cheese; hot sauce; mustard; mayonnaise; yogurt; egg; tomato; bell pepper; pickle; jam; relish; soy sauce,7,7,6,0.5,0.5385,0.5185,0,0.35,bell pepper; cheese; egg; milk; pickle; soy sauce; tomato,hot sauce; jam; mayonnaise; mustard; relish; salad dressing; yogurt,bread; eggplant; ranch; steak sauce; taco sauce; tortilla
0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,data/raw/valid/images/0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,high_only,success,qwen35-397b,247.04,chicken; egg; milk; cheese; butter; mustard,milk; egg; mustard; vinegar; salad dressing; pasta; butter; yogurt; cheese; lettuce; carrot,5,6,1,0.4545,0.8333,0.5882,0,0.4167,butter; cheese; egg; milk; mustard,carrot; lettuce; pasta; salad dressing; vinegar; yogurt,chicken
4mvnskt72n8e1_jpeg.rf.d6d6a59ab65353f694b0bc1d89c348c1.jpg,data/raw/valid/images/4mvnskt72n8e1_jpeg.rf.d6d6a59ab65353f694b0bc1d89c348c1.jpg,high_only,success,qwen35-397b,51.86,blueberry; garlic; egg; chicken; ketchup; yogurt; mustard,egg; butter; yogurt; blueberry; chicken; mayonnaise; mustard,5,2,2,0.7143,0.7143,0.7143,0,0.5556,blueberry; chicken; egg; mustard; yogurt,butter; mayonnaise,garlic; ketchup
20250621_150036_jpg.rf.a973c2823304b1209f3edfe6f40eb2d8.jpg,data/raw/valid/images/20250621_150036_jpg.rf.a973c2823304b1209f3edfe6f40eb2d8.jpg,high_only,success,qwen35-397b,37.93,cucumber; bell pepper; lemon; lime; banana; tomato; apple; ketchup; cheese; lettuce; yogurt; chicken; carrot; potato,lettuce; tomato; potato; cucumber; banana; cheese; bell pepper; lime; apple; peach; ketchup; yogurt; meat,11,2,3,0.8462,0.7857,0.8148,0,0.6875,apple; banana; bell pepper; cheese; cucumber; ketchup; lettuce; lime; potato; tomato; yogurt,meat; peach,carrot; chicken; lemon
20250620_232903_jpg.rf.738732a82979928a2e5a2495f2729304.jpg,data/raw/valid/images/20250620_232903_jpg.rf.738732a82979928a2e5a2495f2729304.jpg,high_only,success,qwen35-397b,26.58,spinach; carrot; tomato; butter; yogurt; apple; cucumber; banana; blueberry; meat; pickle; bell pepper,tomato; carrot; spinach; yogurt; cheese; chicken; butter; cucumber; blueberry,7,2,5,0.7778,0.5833,0.6667,0,0.5,blueberry; butter; carrot; cucumber; spinach; tomato; yogurt,cheese; chicken,apple; banana; bell pepper; meat; pickle
20250619_171703_jpg.rf.f2c98ffe198a124c809789b5af90b5fb.jpg,data/raw/valid/images/20250619_171703_jpg.rf.f2c98ffe198a124c809789b5af90b5fb.jpg,high_only,success,qwen35-397b,8.29,carrot; pickle; hot sauce; jam; mushroom,carrot; yogurt; jam; pickle; mustard; hot sauce,4,2,1,0.6667,0.8,0.7273,0,0.5714,carrot; hot sauce; jam; pickle,mustard; yogurt,mushroom
0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,data/raw/valid/images/0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,high_only,success,qwen35-397b,17.57,almond milk; pickle; strawberry; beans; oat milk,almond milk; oat milk; hummus; salad; pickle; mango; mushroom; strawberry; cheese; grape; soy sauce,4,7,1,0.3636,0.8,0.5,0,0.3333,almond milk; oat milk; pickle; strawberry,cheese; grape; hummus; mango; mushroom; salad; soy sauce,beans
t8c0bd9je7351_jpg.rf.49ef46ac4d7e7a3d4f0816027d599b7a.jpg,data/raw/valid/images/t8c0bd9je7351_jpg.rf.49ef46ac4d7e7a3d4f0816027d599b7a.jpg,high_only,success,qwen35-397b,19.01,cheese; milk; pickle; hot sauce; yogurt; avocado; tomato; onion; hummus; strawberry; orange; mango,half & half; cheese; yogurt; pickle; mustard; mayonnaise; ketchup; avocado; lime; orange; tomato; onion; egg; bread; hummus; strawberry; carrot; lemon,9,9,3,0.5,0.75,0.6,0,0.4286,avocado; cheese; hummus; onion; orange; pickle; strawberry; tomato; yogurt,bread; carrot; egg; half & half; ketchup; lemon; lime; mayonnaise; mustard,hot sauce; mango; milk
cb729pj3e34e1_jpeg.rf.cccc83aabe2e8a7871fbe5234bd4619d.jpg,data/raw/valid/images/cb729pj3e34e1_jpeg.rf.cccc83aabe2e8a7871fbe5234bd4619d.jpg,high_only,success,qwen35-397b,13.91,corn dog; cola; mayonnaise; meat; cheese; apple; yogurt; jam; mustard; ketchup,corn dog; yogurt; mustard; relish; jam; pickle; butter,4,3,6,0.5714,0.4,0.4706,0,0.3077,corn dog; jam; mustard; yogurt,butter; pickle; relish,apple; cheese; cola; ketchup; mayonnaise; meat
0827_jpeg.rf.85776737bff4d474bd78b4624c5b9693.jpg,data/raw/valid/images/0827_jpeg.rf.85776737bff4d474bd78b4624c5b9693.jpg,high_only,success,qwen35-397b,13.99,egg; blueberry; yogurt; protein shake; tomato; orange; apple; bell pepper; salad,egg; lunchable; yogurt; hummus; salad; protein shake; kombucha; tomato; lettuce; orange; bread; pasta sauce; salad dressing; butter; cheese,6,9,3,0.4,0.6667,0.5,0,0.3333,egg; orange; protein shake; salad; tomato; yogurt,bread; butter; cheese; hummus; kombucha; lettuce; lunchable; pasta sauce; salad dressing,apple; bell pepper; blueberry
jm5m4firr78e1_jpeg.rf.0fcdeae246653bf2c4a495df2eb74685.jpg,data/raw/valid/images/jm5m4firr78e1_jpeg.rf.0fcdeae246653bf2c4a495df2eb74685.jpg,high_only,success,qwen35-397b,22.58,meat; milk; cake; garlic; apple; coconut; ketchup; blueberry; spring onion; coconut milk; hot sauce; pickle,milk; salsa; cheese; cream cheese; butter; yogurt; coconut milk; egg; celery; pie; hot sauce; pickle; jam; mustard; ketchup; soy sauce; salad dressing; mayonnaise; hummus; tofu,5,15,7,0.25,0.4167,0.3125,0,0.1852,coconut milk; hot sauce; ketchup; milk; pickle,butter; celery; cheese; cream cheese; egg; hummus; jam; mayonnaise; mustard; pie; salad dressing; salsa; soy sauce; tofu; yogurt,apple; blueberry; cake; coconut; garlic; meat; spring onion
DSC_6037_JPG_jpg.rf.e2101670d0bbd45cf7da6475f555ec29.jpg,data/raw/valid/images/DSC_6037_JPG_jpg.rf.e2101670d0bbd45cf7da6475f555ec29.jpg,high_only,success,qwen35-397b,9.68,potato; cheese; carrot; meat; lemon; egg; blueberry; tomato; milk; flour,tomato; carrot; lime; egg; cheese; potato; salmon; milk; flour,7,2,3,0.7778,0.7,0.7368,0,0.5833,carrot; cheese; egg; flour; milk; potato; tomato,lime; salmon,blueberry; lemon; meat
0300_jpeg.rf.59609d1423cad492f6c67278fc4ac662.jpg,data/raw/valid/images/0300_jpeg.rf.59609d1423cad492f6c67278fc4ac662.jpg,high_only,success,qwen35-397b,15.77,energy drink; picante sauce; cola; olive; ketchup; mayonnaise; meat; milk; kiwi; tortilla; egg; cabbage; butter; noodle,milk; energy drink; pasta sauce; cabbage; butter; pickle; egg; noodle,6,2,8,0.75,0.4286,0.5455,0,0.375,butter; cabbage; egg; energy drink; milk; noodle,pasta sauce; pickle,cola; ketchup; kiwi; mayonnaise; meat; olive; picante sauce; tortilla
0299_jpeg.rf.d49f98a6eaa13c6ba5b4ac91a30dee95.jpg,data/raw/valid/images/0299_jpeg.rf.d49f98a6eaa13c6ba5b4ac91a30dee95.jpg,high_only,success,qwen35-397b,6.04,egg; potato; rice drink,egg; half & half; milk; potato,2,2,1,0.5,0.6667,0.5714,0,0.4,egg; potato,half & half; milk,rice drink
0861_jpeg.rf.0b3edf4571a0f7b914542343f5611dc1.jpg,data/raw/valid/images/0861_jpeg.rf.0b3edf4571a0f7b914542343f5611dc1.jpg,high_only,success,qwen35-397b,71.46,ketchup; tomato; mustard; coffee creamer; energy drink; egg; chocolate syrup; sausage; butter; salad; sour cream; whipping cream; dip; lettuce,yogurt; lettuce; chocolate syrup; ketchup; mustard; egg,5,1,9,0.8333,0.3571,0.5,0,0.3333,chocolate syrup; egg; ketchup; lettuce; mustard,yogurt,butter; coffee creamer; dip; energy drink; salad; sausage; sour cream; tomato; whipping cream
20250620_232535_jpg.rf.64b76bb20e5863b60bdca52244cb5799.jpg,data/raw/valid/images/20250620_232535_jpg.rf.64b76bb20e5863b60bdca52244cb5799.jpg,high_only,success,qwen35-397b,11.14,carrot; apple; egg; bell pepper; avocado; mayonnaise; lemon; tomato; banana; cucumber,orange; mayonnaise; lime; avocado; egg; peach; apple; banana; tomato; lettuce; carrot; cucumber,8,4,2,0.6667,0.8,0.7273,0,0.5714,apple; avocado; banana; carrot; cucumber; egg; mayonnaise; tomato,lettuce; lime; orange; peach,bell pepper; lemon
20250621_003504_jpg.rf.1e8f0ad8e4a09e24b3ee5be9be636643.jpg,data/raw/valid/images/20250621_003504_jpg.rf.1e8f0ad8e4a09e24b3ee5be9be636643.jpg,high_only,success,qwen35-397b,184.47,bell pepper; carrot; banana; tomato; mustard; cheese; cucumber; apple; meat,tomato; ham; carrot; mustard; cheese; bell pepper; banana; mushroom,6,2,3,0.75,0.6667,0.7059,0,0.5455,banana; bell pepper; carrot; cheese; mustard; tomato,ham; mushroom,apple; cucumber; meat
DSC_6179_JPG_jpg.rf.8bdda49c3e4a5c8995a0f5005e80e92b.jpg,data/raw/valid/images/DSC_6179_JPG_jpg.rf.8bdda49c3e4a5c8995a0f5005e80e92b.jpg,high_only,success,qwen35-397b,12.16,apple; potato; mushroom; egg; bread; sugar; salt,bread; orange; mushroom; apple; potato; yogurt,4,2,3,0.6667,0.5714,0.6154,0,0.4444,apple; bread; mushroom; potato,orange; yogurt,egg; salt; sugar
lk0o3x3c3t8e1_jpeg.rf.463cdb941831a325bdd27bec3e7cb8ad.jpg,data/raw/valid/images/lk0o3x3c3t8e1_jpeg.rf.463cdb941831a325bdd27bec3e7cb8ad.jpg,high_only,success,qwen35-397b,111.92,sour cream; whipped cream; milk; ginger ale; salad; egg; bread; mustard,ginger ale; egg; sour cream; milk; mustard,5,0,3,1.0,0.625,0.7692,0,0.625,egg; ginger ale; milk; mustard; sour cream,,bread; salad; whipped cream
0288_jpeg.rf.eb98932e6e080af25142040913b7a85f.jpg,data/raw/valid/images/0288_jpeg.rf.eb98932e6e080af25142040913b7a85f.jpg,high_only,success,qwen35-397b,101.08,tomato; cola; blueberry; cabbage; ketchup; zucchini; egg; pizza; orange; chocolate; energy drink; milk,pizza; strawberry; blueberry; milk; cheese; lettuce,3,3,9,0.5,0.25,0.3333,0,0.2,blueberry; milk; pizza,cheese; lettuce; strawberry,cabbage; chocolate; cola; egg; energy drink; ketchup; orange; tomato; zucchini
enetmscx30971_jpg.rf.2f8b543a3db5ac13fdae28f8ec78ab84.jpg,data/raw/valid/images/enetmscx30971_jpg.rf.2f8b543a3db5ac13fdae28f8ec78ab84.jpg,high_only,success,qwen35-397b,11.04,jam; butter; gochujang; carrot; chocolate; pickle; soy sauce; cheese,butter; mustard; ketchup; salad dressing; hot sauce; mayonnaise; chocolate; yogurt; jam; pickle; soy sauce; milk; cheese; meat; egg,6,9,2,0.4,0.75,0.5217,0,0.3529,butter; cheese; chocolate; jam; pickle; soy sauce,egg; hot sauce; ketchup; mayonnaise; meat; milk; mustard; salad dressing; yogurt,carrot; gochujang
20250619_232842_jpg.rf.9c57487915939de0d9e83603ac5ff1df.jpg,data/raw/valid/images/20250619_232842_jpg.rf.9c57487915939de0d9e83603ac5ff1df.jpg,high_only,success,qwen35-397b,11.02,yogurt; carrot; blueberry; lemon; apple; bell pepper; cucumber; meat; orange; pickle; banana,carrot; orange; apple; yogurt; lime; tangerine; cucumber; blueberry; hazelnut spread; pickle,7,3,4,0.7,0.6364,0.6667,0,0.5,apple; blueberry; carrot; cucumber; orange; pickle; yogurt,hazelnut spread; lime; tangerine,banana; bell pepper; lemon; meat
qus214j0so7e1_jpeg.rf.a5de4b042cd8e9380831cce3b183e31c.jpg,data/raw/valid/images/qus214j0so7e1_jpeg.rf.a5de4b042cd8e9380831cce3b183e31c.jpg,high_only,success,qwen35-397b,123.77,orange; bell pepper; flaxseed; tomato; yogurt; spinach; beef broth; hourmet; basil; egg; carrot; brussels sprouts,tomato; cheese; carrot; bell pepper; orange; grape,4,2,8,0.6667,0.3333,0.4444,0,0.2857,bell pepper; carrot; orange; tomato,cheese; grape,basil; beef broth; brussels sprouts; egg; flaxseed; hourmet; spinach; yogurt
xpne72f2b7561_jpg.rf.237e54834aedda4fd4df61eb9ee14366.jpg,data/raw/valid/images/xpne72f2b7561_jpg.rf.237e54834aedda4fd4df61eb9ee14366.jpg,high_only,success,qwen35-397b,17.98,cabbage; bell pepper; sausage; ice cream; chocolate syrup; oat milk,sausage; hash brown; ice cream; chocolate syrup; peanut butter; cabbage; bell pepper; milk; oat milk,6,3,0,0.6667,1.0,0.8,0,0.6667,bell pepper; cabbage; chocolate syrup; ice cream; oat milk; sausage,hash brown; milk; peanut butter,
DSC_6028_JPG_jpg.rf.4128319ec41fa3d1c67d76ae8f167932.jpg,data/raw/valid/images/DSC_6028_JPG_jpg.rf.4128319ec41fa3d1c67d76ae8f167932.jpg,high_only,success,qwen35-397b,114.63,banana; egg; tomato; mushroom; meat; potato; cake; flour; milk,mushroom; tomato; banana; egg; chicken; butter; bread; milk; flour; cake,7,3,2,0.7,0.7778,0.7368,0,0.5833,banana; cake; egg; flour; milk; mushroom; tomato,bread; butter; chicken,meat; potato
20250620_232559_jpg.rf.c8269223f51722c7893bea3b5ae28175.jpg,data/raw/valid/images/20250620_232559_jpg.rf.c8269223f51722c7893bea3b5ae28175.jpg,high_only,success,qwen35-397b,19.77,apple; bell pepper; cucumber; carrot; egg; avocado; lemon; mayonnaise; tomato; butter,mayonnaise; apple; carrot; cucumber; egg; strawberry; lettuce; lime; avocado; tomato; butter; yogurt,8,4,2,0.6667,0.8,0.7273,0,0.5714,apple; avocado; butter; carrot; cucumber; egg; mayonnaise; tomato,lettuce; lime; strawberry; yogurt,bell pepper; lemon
DSC_6088_JPG_jpg.rf.fae5cb616201a492e7bb51ff056e7c11.jpg,data/raw/valid/images/DSC_6088_JPG_jpg.rf.fae5cb616201a492e7bb51ff056e7c11.jpg,high_only,success,qwen35-397b,7.5,strawberry; soy milk; chicken; blueberry; coconut milk; potato; egg; meat,bread; soy milk; almond milk; blueberry; coconut milk; chicken; strawberry,5,2,3,0.7143,0.625,0.6667,0,0.5,blueberry; chicken; coconut milk; soy milk; strawberry,almond milk; bread,egg; meat; potato
j1pfsemgagce1_jpeg.rf.e7dd3c6fab42bce2f9a6e18ceacac212.jpg,data/raw/valid/images/j1pfsemgagce1_jpeg.rf.e7dd3c6fab42bce2f9a6e18ceacac212.jpg,high_only,success,qwen35-397b,292.92,meat; zucchini; yogurt; milk; egg; orange; carrot; tomato; cabbage; beef; tortilla,cheese; margarine; tortilla; lettuce; zucchini; mushroom; milk; carrot; celery; orange; garlic; bacon,5,7,6,0.4167,0.4545,0.4348,0,0.2778,carrot; milk; orange; tortilla; zucchini,bacon; celery; cheese; garlic; lettuce; margarine; mushroom,beef; cabbage; egg; meat; tomato; yogurt
