image_id,detected_ingredient_count,detected_ingredients,recommendation_count,top1_title,top1_coverage,top1_matched_count,top1_missing_count,top1_missing_difficulty,top1_cookability_score,top1_prep_time,best_top3_coverage,best_top5_coverage,mean_top5_coverage,mean_top5_missing_count,mean_top5_matched_count,has_recipe_above_50,has_recipe_above_70
pwhztabat8v31_jpg.rf.22b0e388b2350081380800e2bea63480.jpg,4,yogurt; ketchup; butter; milk,5,roasted cauliflower alfredo with peas,0.375,3,5,hard,13.5,90,0.375,0.375,0.2964,5.2,2.2,0,0
1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,14,milk; salad dressing; cheese; hot sauce; mustard; mayonnaise; yogurt; egg; tomato; bell pepper; pickle; jam; relish; soy sauce,5,chicken parmesan pasta cups,0.6667,4,2,easy,62.6667,40,0.6667,0.6667,0.5778,3.4,4.4,1,0
0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,11,milk; egg; mustard; vinegar; salad dressing; pasta; butter; yogurt; cheese; lettuce; carrot,5,chicken parmesan pasta cups,0.6667,4,2,easy,62.6667,40,0.6667,0.6667,0.6202,2.8,4.6,1,0
4mvnskt72n8e1_jpeg.rf.d6d6a59ab65353f694b0bc1d89c348c1.jpg,7,egg; butter; yogurt; blueberry; chicken; mayonnaise; mustard,5,swiss chard frittata,0.4286,3,4,medium,28.8571,90,0.4286,0.4286,0.4072,4.4,3.0,0,0
20250621_150036_jpg.rf.a973c2823304b1209f3edfe6f40eb2d8.jpg,13,lettuce; tomato; potato; cucumber; banana; cheese; bell pepper; lime; apple; peach; ketchup; yogurt; meat,5,chicken pesto pizza,0.4444,4,5,medium,28.4444,90,0.4444,0.4444,0.3889,5.0,3.2,0,0
20250620_232903_jpg.rf.738732a82979928a2e5a2495f2729304.jpg,9,tomato; carrot; spinach; yogurt; cheese; chicken; butter; cucumber; blueberry,5,chicken with artichokes and sun dried tomato,0.7143,5,2,easy,67.4286,50,0.7143,0.7143,0.6096,3.2,4.8,1,1
20250619_171703_jpg.rf.f2c98ffe198a124c809789b5af90b5fb.jpg,6,carrot; yogurt; jam; pickle; mustard; hot sauce,5,savory carrot cumin lava cakes with a gouda center,0.2222,2,7,hard,-5.7778,50,0.2222,0.2222,0.1588,6.2,1.2,0,0
0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,11,almond milk; oat milk; hummus; salad; pickle; mango; mushroom; strawberry; cheese; grape; soy sauce,5,chicken parmesan pasta cups,0.3333,2,4,medium,19.3333,40,0.3333,0.3333,0.2833,5.4,2.2,0,0
t8c0bd9je7351_jpg.rf.49ef46ac4d7e7a3d4f0816027d599b7a.jpg,18,half & half; cheese; yogurt; pickle; mustard; mayonnaise; ketchup; avocado; lime; orange; tomato; onion; egg; bread; hummus; strawberry; carrot; lemon,5,chicken parmesan pasta cups,0.6667,4,2,easy,62.6667,40,0.6667,0.6667,0.626,3.0,5.0,1,0
cb729pj3e34e1_jpeg.rf.cccc83aabe2e8a7871fbe5234bd4619d.jpg,7,corn dog; yogurt; mustard; relish; jam; pickle; butter,5,chicken dog,0.2857,2,5,medium,12.5714,25,0.2857,0.2857,0.2191,5.6,1.6,0,0
0827_jpeg.rf.85776737bff4d474bd78b4624c5b9693.jpg,15,egg; lunchable; yogurt; hummus; salad; protein shake; kombucha; tomato; lettuce; orange; bread; pasta sauce; salad dressing; butter; cheese,5,chicken parmesan pasta cups,0.6667,4,2,easy,62.6667,40,0.6667,0.6667,0.6171,3.0,4.8,1,0
jm5m4firr78e1_jpeg.rf.0fcdeae246653bf2c4a495df2eb74685.jpg,20,milk; salsa; cheese; cream cheese; butter; yogurt; coconut milk; egg; celery; pie; hot sauce; pickle; jam; mustard; ketchup; soy sauce; salad dressing; mayonnaise; hummus; tofu,5,how to make fluffy moist scrambled eggs,0.5714,4,3,medium,45.1429,90,0.625,0.625,0.5536,3.0,3.8,1,0
DSC_6037_JPG_jpg.rf.e2101670d0bbd45cf7da6475f555ec29.jpg,9,tomato; carrot; lime; egg; cheese; potato; salmon; milk; flour,5,chicken parmesan pasta cups,0.6667,4,2,easy,62.6667,40,0.6667,0.6667,0.6008,3.2,4.6,1,0
0300_jpeg.rf.59609d1423cad492f6c67278fc4ac662.jpg,8,milk; energy drink; pasta sauce; cabbage; butter; pickle; egg; noodle,5,how to make fluffy moist scrambled eggs,0.4286,3,4,medium,28.8571,90,0.4286,0.4444,0.402,4.4,3.0,0,0
0299_jpeg.rf.d49f98a6eaa13c6ba5b4ac91a30dee95.jpg,4,egg; half & half; milk; potato,5,cheesy egg and hashbrown casserole,0.375,3,5,medium,21.5,80,0.4,0.4,0.3359,5.0,2.6,0,0
0861_jpeg.rf.0b3edf4571a0f7b914542343f5611dc1.jpg,6,yogurt; lettuce; chocolate syrup; ketchup; mustard; egg,5,swiss chard frittata,0.2857,2,5,medium,12.5714,90,0.3,0.3,0.2505,5.8,2.0,0,0
20250620_232535_jpg.rf.64b76bb20e5863b60bdca52244cb5799.jpg,12,orange; mayonnaise; lime; avocado; egg; peach; apple; banana; tomato; lettuce; carrot; cucumber,5,tomato and zucchini frittata,0.375,3,5,medium,21.5,50,0.4444,0.4444,0.3805,4.8,3.0,0,0
20250621_003504_jpg.rf.1e8f0ad8e4a09e24b3ee5be9be636643.jpg,8,tomato; ham; carrot; mustard; cheese; bell pepper; banana; mushroom,5,chicken parmesan pasta cups,0.5,3,3,medium,38.0,40,0.5,0.5,0.4528,4.4,3.6,1,0
DSC_6179_JPG_jpg.rf.8bdda49c3e4a5c8995a0f5005e80e92b.jpg,6,bread; orange; mushroom; apple; potato; yogurt,5,not your average scrambled eggs,0.25,2,6,hard,-1.0,25,0.25,0.25,0.1925,6.6,1.6,0,0
lk0o3x3c3t8e1_jpeg.rf.463cdb941831a325bdd27bec3e7cb8ad.jpg,5,ginger ale; egg; sour cream; milk; mustard,5,pizza muffins,0.3333,2,4,medium,19.3333,45,0.375,0.375,0.3287,5.2,2.6,0,0
0288_jpeg.rf.eb98932e6e080af25142040913b7a85f.jpg,6,pizza; strawberry; blueberry; milk; cheese; lettuce,5,chicken pesto pizza,0.4444,4,5,medium,28.4444,90,0.4444,0.4444,0.3543,4.6,2.6,0,0
enetmscx30971_jpg.rf.2f8b543a3db5ac13fdae28f8ec78ab84.jpg,15,butter; mustard; ketchup; salad dressing; hot sauce; mayonnaise; chocolate; yogurt; jam; pickle; soy sauce; milk; cheese; meat; egg,5,how to make fluffy moist scrambled eggs,0.5714,4,3,medium,45.1429,90,0.625,0.625,0.5536,3.0,3.8,1,0
20250619_232842_jpg.rf.9c57487915939de0d9e83603ac5ff1df.jpg,10,carrot; orange; apple; yogurt; lime; tangerine; cucumber; blueberry; hazelnut spread; pickle,5,yummly recipe basics tzatziki sauce,0.2857,2,5,hard,4.5714,10,0.2857,0.2857,0.2633,6.2,2.2,0,0
qus214j0so7e1_jpeg.rf.a5de4b042cd8e9380831cce3b183e31c.jpg,6,tomato; cheese; carrot; bell pepper; orange; grape,5,chicken parmesan pasta cups,0.5,3,3,medium,38.0,40,0.5,0.5,0.4528,4.4,3.6,1,0
xpne72f2b7561_jpg.rf.237e54834aedda4fd4df61eb9ee14366.jpg,9,sausage; hash brown; ice cream; chocolate syrup; peanut butter; cabbage; bell pepper; milk; oat milk,5,wake up cups,0.3333,3,6,hard,7.3333,40,0.3333,0.3333,0.2389,6.2,2.0,0,0
DSC_6028_JPG_jpg.rf.4128319ec41fa3d1c67d76ae8f167932.jpg,10,mushroom; tomato; banana; egg; chicken; butter; bread; milk; flour; cake,5,chicken pop overs,0.625,5,3,hard,42.5,45,0.625,0.625,0.5504,3.4,4.2,1,0
20250620_232559_jpg.rf.c8269223f51722c7893bea3b5ae28175.jpg,12,mayonnaise; apple; carrot; cucumber; egg; strawberry; lettuce; lime; avocado; tomato; butter; yogurt,5,swiss chard frittata,0.4286,3,4,medium,28.8571,90,0.4286,0.4444,0.3996,4.8,3.2,0,0
DSC_6088_JPG_jpg.rf.fae5cb616201a492e7bb51ff056e7c11.jpg,7,bread; soy milk; almond milk; blueberry; coconut milk; chicken; strawberry,5,chicken pop overs,0.375,3,5,hard,13.5,45,0.375,0.375,0.2737,6.0,2.2,0,0
j1pfsemgagce1_jpeg.rf.e7dd3c6fab42bce2f9a6e18ceacac212.jpg,12,cheese; margarine; tortilla; lettuce; zucchini; mushroom; milk; carrot; celery; orange; garlic; bacon,5,"buffalo chicken lettuce wraps slow cooker, instant pot",0.5556,5,4,medium,41.5556,35,0.5556,0.5556,0.4968,4.6,4.6,1,0
544pc5m6hm9e1_jpeg.rf.1031e131876f7959e7c714ee8d527dcb.jpg,10,egg; bread; lettuce; strawberry; almond milk; butter; yogurt; mayonnaise; ketchup; mustard,5,swiss chard frittata,0.4286,3,4,medium,28.8571,90,0.5,0.5,0.3895,4.6,3.0,1,0
0080_jpeg.rf.90eae1d71a74e5341b00f86d3db84833.jpg,10,milk; yogurt; egg; cheese; strawberry; blueberry; lettuce; tortilla chip; mustard; mayonnaise,5,chicken parmesan pasta cups,0.5,3,3,medium,38.0,40,0.5,0.5,0.4572,3.6,3.0,1,0
20250619_172819_jpg.rf.797f92ebb9da0ec6fe321da1b0e9a8c2.jpg,8,tomato; carrot; avocado; bell pepper; cucumber; lettuce; eggplant; yogurt,5,gazpacho,0.375,3,5,medium,21.5,20,0.4444,0.4444,0.3939,5.2,3.4,0,0
